CODE_IRIS,NOM_IRIS,Nb_Pharmacies,Nb_Commerces,Nb_Restaurants,Nb_Transports,Nb_VLille,Nb_ParcsEnfants,Nb_ComplexesSportifs,Nb_Ecoles,Nb_Bars,Nb_Parkings,Surface_Verte_m2,Bruit_Leq_dB,Norm_Bruit,Norm_Nb_Pharmacies,Norm_Nb_Commerces,Norm_Nb_Restaurants,Norm_Nb_Transports,Norm_Nb_VLille,Norm_Nb_ParcsEnfants,Norm_Nb_ComplexesSportifs,Norm_Nb_Ecoles,Norm_Nb_Bars,Norm_Nb_Parkings,Norm_Surface_Verte_m2,Norm_Bruit_Leq_dB,Norm_Norm_Bruit,Prix_Median_m2,Norm_Prix
593500409,Mairie,0,0,7,0,1,0,1,0,4,2,2991.529338541887,61.46874870814291,0.9235772184757277,0.0,0.0,0.1707317073170732,0.0,0.2,0.0,0.1666666666666667,0.0,0.09090909090909091,0.02702702702702703,0.003067775539849641,0.0764227815242723,0.9235772184757277,3664.0,0.4171410499683744
593500410,Barthélemy,3,0,6,2,1,1,0,5,2,4,832.0850450403183,65.2719125435076,0.8485406551769344,0.75,0.0,0.1463414634146341,0.125,0.2,0.09090909090909091,0.0,0.2083333333333333,0.04545454545454546,0.05405405405405406,0.0008532927006136507,0.1514593448230656,0.8485406551769344,3436.5,0.489089184060721
593500501,Strasbourg,0,0,0,1,0,4,1,0,0,2,15986.58967254228,108.2794676704022,0.0,0.0,0.0,0.0,0.0625,0.0,0.3636363636363636,0.1666666666666667,0.0,0.0,0.02702702702702703,0.01639404572476713,1.0,0.0,3436.5,0.489089184060721
593500502,Seclin,0,0,0,3,2,2,1,3,1,2,6274.012150905761,63.36515877511162,0.8861609776324192,0.0,0.0,0.0,0.1875,0.4,0.1818181818181818,0.1666666666666667,0.125,0.02272727272727273,0.02702702702702703,0.006433920191018253,0.1138390223675809,0.8861609776324192,2678.0,0.7289690069576218
593500503,Arsenal,0,0,1,1,1,2,0,5,1,7,12793.59174898055,63.22668615326309,0.8888930475889822,0.0,0.0,0.02439024390243903,0.0625,0.2,0.1818181818181818,0.0,0.2083333333333333,0.02272727272727273,0.0945945945945946,0.0131196666964579,0.1111069524110178,0.8888930475889822,3275.0,0.5401644528779254
593500504,Fac de Droit,0,0,4,13,3,7,0,11,0,18,155197.6851800427,104.328282448755,0.0779570307312209,0.0,0.0,0.0975609756097561,0.8125,0.6,0.6363636363636364,0.0,0.4583333333333333,0.0,0.2432432432432433,0.1591532652889453,0.922042969268779,0.0779570307312209,2424.0,0.8092979127134725
593500506,Arras,4,1,8,3,2,2,1,5,5,5,6849.375247002607,62.94044058061853,0.8945406833366237,1.0,0.3333333333333333,0.1951219512195122,0.1875,0.4,0.1818181818181818,0.1666666666666667,0.2083333333333333,0.1136363636363636,0.06756756756756757,0.00702394777657367,0.1054593166633763,0.8945406833366237,3310.0,0.5290955091714105
593500507,Belfort,1,0,0,3,2,11,1,5,0,8,41945.0874080985,99.28006046558905,0.1775586373892906,0.25,0.0,0.0,0.1875,0.4,1.0,0.1666666666666667,0.2083333333333333,0.0,0.1081081081081081,0.04301415717692384,0.8224413626107094,0.1775586373892906,3436.5,0.489089184060721
593500508,Trévise,0,0,2,4,0,2,0,0,2,8,3619.131569842821,65.53331760665904,0.8433831236014093,0.0,0.0,0.04878048780487805,0.25,0.0,0.1818181818181818,0.0,0.0,0.04545454545454546,0.1081081081081081,0.003711373698535425,0.1566168763985906,0.8433831236014093,3436.5,0.489089184060721
593500601,Baltique-Vieux Faubourg,0,0,2,3,0,4,2,2,0,4,69796.6123296178,105.6082846173822,0.05270254054710755,0.0,0.0,0.04878048780487805,0.1875,0.0,0.3636363636363636,0.3333333333333333,0.08333333333333333,0.0,0.05405405405405406,0.07157554409061372,0.9472974594528925,0.05270254054710755,2093.0,0.9139784946236559
